brand,ean,image_url,name,original_price,product_category,product_page_url,sale_price,sku,stock
Fusion,3700998928542,https://e-leclerc.scene7.com/is/image/gtinternet/3700998928542_6;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928542_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919304_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928542_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928542_5,Stand UP Paddle Gonflable PUNGA 10'8 Bleu 320 x 81 x 15 cm,89900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-punga-10-8-bleu-320-x-81-x-15-cm-3700998928542,35480,3700998928542,True
Simple Paddle,3700998928610,https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_7;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928610_6,Stand UP Paddle Gonflable CAYMAN 10' Bleu 300 x 76 x 15 cm,74900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-cayman-10-bleu-300-x-76-x-15-cm-3700998928610,33480,3700998928610,True
Devessport,8436039860100,https://e-leclerc.scene7.com/is/image/gtinternet/8436039860100_1,Pagaie télescopique en aluminium,3499,materiel-d-equitation,https://www.e.leclerc//fp/pagaie-telescopique-en-aluminium-8436039860100,4499,8436039860100,True
X-paddleboards,7421094522378,https://e-leclerc.scene7.com/is/image/gtinternet/7421094522262_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522378_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522262_4;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522378_3,Paddle gonflable X3 pack complet 305x82x15cm,39900,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-x3-pack-complet-305x82x15cm-7421094522378,29900,7421094522378,True
Simple Paddle,3700998902412,https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919205_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902412_6,Stand UP Paddle Gonflable XS 9'2 Bleu 278 x 76 x 13 cm,76990,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-xs-9-2-bleu-278-x-76-x-13-cm-3700998902412,35480,3700998902412,True
Ospazia,3700684110879,https://e-leclerc.scene7.com/is/image/gtinternet/3700684110879_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110879_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110879_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110879_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110879_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110862_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700684110886_5,Paddle gonflable en Dropstitch - Surftrip - 305 x 76 x 15 cm - Tout inclus + sac de transport,27499,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-en-dropstitch-surftrip-305-x-76-x-15-cm-tout-inclus-sac-de-transport-3700684110879,22995,3700684110879,True
ADRN,3700998902450,https://e-leclerc.scene7.com/is/image/gtinternet/3700998902450_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902450_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919359_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902450_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966537_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998937261_6,Stand UP Paddle Gonflable CRUISER 10'2 Orange 310 x 76 x 12.7 cm,72990,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-cruiser-10-2-orange-310-x-76-x-127-cm-3700998902450,30480,3700998902450,True
X-paddleboards,7421094522705,https://e-leclerc.scene7.com/is/image/gtinternet/7421094522705_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522705_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522705_3;https://e-leclerc.scene7.com/is/image/gtinternet/7421087557721_4;https://e-leclerc.scene7.com/is/image/gtinternet/7421087557721_3,Paddle gonflable X-Flamingo option kayak pack complet 310 x 82 x 15cm,61900,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-x-flamingo-option-kayak-pack-complet-310-x-82-x-15cm-7421094522705,42900,7421094522705,True
Rohe,3700998919403,https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700994528890_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_6;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919403_7,Stand UP Paddle Gonflable HAVANE1 9' Bleu 274 x 76 x 13 cm,64900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-havane1-9-bleu-274-x-76-x-13-cm-3700998919403,28990,3700998919403,True
Simple Paddle,3700998966599,https://e-leclerc.scene7.com/is/image/gtinternet/3700998966599_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966599_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966599_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966582_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966599_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966599_6,Stand UP Paddle Gonflable ATOLL 10' Bleu 305 x 76 x 15 cm,79900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-atoll-10-bleu-305-x-76-x-15-cm-3700998966599,33480,3700998966599,True
